"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3495","Login com sucesso 2","firefox","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","5435","Login com sucesso 2","chromium","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","2900","Login email vazio e mansagem","webkit","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","3696","Logout","webkit","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","4561","Login com sucesso 2","firefox","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","6143","Logout","chromium","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","5986","Login com sucesso 2","chromium","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","5479","Logout","firefox","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","5836","Funcionalidades pagina principal","webkit","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","4578","Login email vazio e mansagem","chromium","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","5296","cadastro QA","firefox","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","3245","Login com sucesso 2","webkit","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","8194","Funcionalidades pagina principal","chromium","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
"","2537","Login email vazio e mansagem","firefox","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","5944","cadastro QA","webkit","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","6139","Login com sucesso 2","webkit","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","6017","cadastro QA","chromium","2026-07-15","passed","2026-07-15","","exemplo\LoginP2.spec.js","",""
"","9042","Funcionalidades pagina principal","firefox","2026-07-15","passed","2026-07-15","","testesEnaexHML.spec.js","",""
